aX,aY,aZ,gX,gY,gZ
-0.424,-0.419,0.792,11.414,-9.521,-0.244
-0.423,-0.422,0.797,13.489,-10.742,0.671
-0.419,-0.420,0.808,15.686,-11.780,1.526
-0.423,-0.418,0.827,17.822,-12.451,1.587
-0.437,-0.417,0.844,17.517,-11.719,1.465
-0.443,-0.418,0.851,15.137,-9.460,1.404
-0.439,-0.416,0.851,13.611,-6.958,1.526
-0.435,-0.417,0.849,13.489,-5.493,1.831
-0.430,-0.419,0.845,14.038,-5.249,2.502
-0.422,-0.414,0.840,15.259,-5.798,3.479
-0.416,-0.404,0.844,18.005,-6.775,3.906
-0.420,-0.396,0.849,19.165,-7.141,3.723
-0.426,-0.397,0.849,18.921,-6.897,3.357
-0.424,-0.397,0.849,18.066,-6.470,3.296
-0.416,-0.396,0.849,17.578,-6.409,3.357
-0.415,-0.399,0.847,19.104,-7.324,3.357
-0.419,-0.399,0.843,20.508,-9.155,3.784

0.506,-1.819,-0.656,-76.111,-329.041,-356.628
0.621,-2.089,-0.569,-66.711,-427.063,-291.138
0.838,-2.229,-0.289,-22.705,-534.302,-196.777
1.102,-2.248,0.199,41.321,-639.099,-88.501
1.245,-2.140,0.800,104.553,-713.562,17.944
1.250,-2.020,1.412,141.846,-735.046,104.797
0.961,-1.956,1.979,156.860,-703.186,178.101
0.558,-1.789,2.444,136.719,-616.760,243.103
0.180,-1.634,2.768,104.370,-493.347,281.616
-0.191,-1.507,2.905,81.970,-346.130,313.721
-0.318,-1.370,2.754,57.983,-198.181,349.854
-0.214,-1.292,2.432,35.400,-76.660,379.089
0.023,-1.129,2.092,2.380,17.273,396.667
0.212,-0.864,1.946,-25.513,80.139,382.568
0.210,-0.535,2.077,-54.565,127.258,338.379
0.059,-0.202,2.247,-83.008,184.631,288.879
-0.083,0.076,2.329,-77.454,253.723,243.408
-0.116,0.270,2.341,-45.715,323.547,196.106
-0.042,0.325,2.238,-0.854,386.353,150.146
0.164,0.265,1.969,46.021,426.758,106.995
0.398,0.160,1.550,79.712,436.951,64.331
0.497,0.072,1.073,96.130,419.189,23.315
0.458,0.002,0.672,104.736,380.981,-14.832
0.367,-0.058,0.366,107.849,331.604,-47.241
0.271,-0.143,0.155,112.305,278.503,-72.693
0.166,-0.281,0.024,117.920,226.440,-89.722
0.049,-0.431,-0.062,116.150,177.002,-96.313
-0.061,-0.556,-0.120,103.699,130.676,-94.116
-0.138,-0.635,-0.124,87.708,86.548,-88.257
-0.206,-0.671,-0.061,74.951,42.480,-82.581
-0.289,-0.703,0.049,67.200,3.235,-74.768
-0.362,-0.730,0.174,59.204,-22.095,-62.927
-0.404,-0.747,0.293,50.781,-35.645,-50.354
-0.423,-0.749,0.392,43.030,-43.945,-39.063
-0.434,-0.715,0.459,37.537,-50.171,-29.907
-0.443,-0.671,0.502,39.734,-55.969,-24.170
-0.460,-0.663,0.536,44.128,-60.486,-21.179
-0.482,-0.691,0.584,42.419,-60.547,-17.700
-0.511,-0.715,0.650,35.095,-54.443,-12.756
-0.543,-0.707,0.718,24.780,-42.175,-7.324
